film_title,category_name,customer_name,store_location,rental_date,customer_total_for_film
FREAKY POCUS,Music,TOMMY COLLAZO,"Lethbridge, Canada",2005-05-24 22:54:33,2.99
IDOLS SNATCHERS,Children,DELORES HANSEN,"Woodridge, Australia",2005-05-24 23:05:21,6.99
MYSTIC TRUMAN,Comedy,NELSON CHRISTENSON,"Lethbridge, Canada",2005-05-24 23:08:07,0.99
SWARM GOLD,Horror,CASSANDRA WALTERS,"Lethbridge, Canada",2005-05-24 23:11:53,1.99
LAWLESS VISION,Animation,MINNIE ROMERO,"Woodridge, Australia",2005-05-24 23:31:46,4.99
MATRIX SNOWMAN,Foreign,ELLEN SIMPSON,"Lethbridge, Canada",2005-05-25 00:00:40,4.99
HANGING DEEP,Drama,DANNY ISOM,"Lethbridge, Canada",2005-05-25 00:02:21,5.99
WHALE BIKINI,Foreign,APRIL BURNS,"Lethbridge, Canada",2005-05-25 00:09:02,8.99
GAMES BOWFINGER,Travel,DEANNA BYRD,"Lethbridge, Canada",2005-05-25 00:19:27,4.99
KING EVOLUTION,Family,RAYMOND MCWHORTER,"Woodridge, Australia",2005-05-25 00:22:55,6.99
MONTEREY LABYRINTH,Horror,THEODORE CULP,"Woodridge, Australia",2005-05-25 00:31:15,0.99
PELICAN COMFORTS,Documentary,RONALD WEINER,"Woodridge, Australia",2005-05-25 00:39:22,9.99
BOOGIE AMELIE,Music,STEVEN CURLEY,"Lethbridge, Canada",2005-05-25 00:43:11,4.99
CONTACT ANONYMOUS,Travel,ISAAC OGLESBY,"Woodridge, Australia",2005-05-25 01:06:36,2.99
ROMAN PUNK,Music,RUTH MARTINEZ,"Lethbridge, Canada",2005-05-25 01:10:47,0.99
HOLLOW JEOPARDY,Sci-Fi,RONNIE RICKETTS,"Woodridge, Australia",2005-05-25 01:17:24,4.99
APACHE DIVINE,Family,CRAIG MORRELL,"Woodridge, Australia",2005-05-25 01:59:46,4.99
CLOSER BANG,Comedy,RAUL FORTIER,"Lethbridge, Canada",2005-05-25 02:19:23,4.99
WHALE BIKINI,Foreign,BARRY LOVELACE,"Lethbridge, Canada",2005-05-25 02:40:21,4.99
REDS POCUS,Music,JUAN FRALEY,"Lethbridge, Canada",2005-05-25 02:53:02,4.99
